datetime,"Mississippi River at Vicksburg, MS","Yazoo River at Greenwood, MS","Tensas River at Tendal, LA","Bayou Macon near Delhi, LA"
1985-01-01,,,110.70967741935483,706.3225806451613
1985-02-01,,,959.1785714285714,2654.8571428571427
1985-03-01,,,357.3225806451613,995.1290322580645
1985-04-01,,,122.23333333333333,486.8333333333333
1985-05-01,,,44.483870967741936,257.80645161290323
1985-06-01,,,45.6,87.8
1985-07-01,,,57.483870967741936,198.29032258064515
1985-08-01,,,311.48387096774195,369.258064516129
1985-09-01,,,45.56666666666667,209.7
1985-10-01,,,700.0,801.6451612903226
1985-11-01,,,541.6666666666666,713.9
1985-12-01,,,377.4516129032258,763.6451612903226
1986-01-01,,,19.70967741935484,110.61290322580645
1986-02-01,,,17.964285714285715,137.17857142857142
1986-03-01,,,80.3225806451613,153.7741935483871
1986-04-01,,,50.36666666666667,162.86666666666667
1986-05-01,,,316.06451612903226,785.741935483871
1986-06-01,,,338.6333333333333,287.6333333333333
1986-07-01,,,34.70967741935484,63.21935483870968
1986-08-01,,,50.03225806451613,152.28709677419354
1986-09-01,,,41.77333333333333,172.4
1986-10-01,,,137.26225806451615,251.9741935483871
1986-11-01,,,1281.0766666666668,2014.48
1986-12-01,,,707.1935483870968,837.258064516129
1987-01-01,,,414.3677419354839,674.2258064516129
1987-02-01,,,858.2892857142857,1793.642857142857
1987-03-01,,,1089.3870967741937,2261.1935483870966
1987-04-01,,,234.91333333333333,412.3333333333333
1987-05-01,,,254.1290322580645,523.8064516129032
1987-06-01,,,492.52000000000004,436.12333333333333
1987-07-01,,,169.2774193548387,245.8709677419355
1987-08-01,,,46.00322580645161,166.97096774193548
1987-09-01,,,21.836666666666666,118.73666666666666
1987-10-01,,,10.461290322580645,124.7741935483871
1987-11-01,,,1009.7333333333333,1112.8333333333333
1987-12-01,,,657.483870967742,1077.9032258064517
1988-01-01,,,580.7096774193549,676.1290322580645
1988-02-01,,,316.7241379310345,440.7586206896552
1988-03-01,,,493.06451612903226,884.1935483870968
1988-04-01,,,502.06666666666666,933.4666666666667
1988-05-01,,,32.354838709677416,54.16129032258065
1988-06-01,,,25.633333333333333,32.37766666666667
1988-07-01,,,47.74193548387097,139.48387096774192
1988-08-01,,,55.61290322580645,231.25806451612902
1988-09-01,,,20.823333333333334,183.06666666666666
1988-10-01,,,43.193548387096776,332.38709677419354
1988-11-01,,,146.16666666666666,434.0
1988-12-01,,,346.0,655.4516129032259
1989-01-01,,,1726.8387096774193,2417.7096774193546
1989-02-01,,,698.1071428571429,1254.0714285714287
1989-03-01,,,773.0322580645161,798.3548387096774
1989-04-01,,,119.7,394.7
1989-05-01,,,1398.3548387096773,1525.6451612903227
1989-06-01,,,475.26666666666665,797.4333333333333
1989-07-01,,,680.483870967742,1840.7096774193549
